Genome,Resistance Phenotype Ciprofloxacin,Resistance Phenotype Meropenem,Resistance Phenotype Gentamicin
72407.2649,0,1,1
72407.2812,1,0,0
573.66414,1,1,0
573.66255,1,1,0
72407.2556,1,1,1
72407.2269,0,0,0
72407.2231,1,0,0
72407.2242,1,0,1
72407.2831,1,0,0
573.69393,1,0,1
573.66308,1,1,1
573.66265,1,1,0
72407.2745,1,0,0
72407.2299,1,0,1
72407.2515,1,0,0
72407.2222,1,0,0
573.6607,1,1,1
573.65965,1,0,1
72407.2824,1,0,0
573.65957,1,0,1
573.66436,1,0,1
72407.2646,1,0,1
72407.2923,1,0,0
72407.2387,1,0,0
573.66345,1,1,1
573.6622,1,1,0
573.66335,1,1,1
573.66288,1,1,1
573.65991,1,0,1
573.66072,0,0,0
573.66392,1,1,1
574.91,1,0,0
573.66231,1,1,1
573.66397,1,1,1
573.6633,1,1,0
72407.2208,0,0,0
573.5375,1,1,0
573.65943,0,0,0
573.65925,0,0,0
573.66061,1,0,0
72407.2911,1,0,1
574.98,1,0,0
573.67684,0,0,1
72407.2491,1,1,1
72407.2955,1,0,0
573.66493,1,1,0
72407.2392,1,0,0
573.66301,1,1,0
72407.2541,0,0,0
72407.2187,0,0,0
573.65941,1,1,0
573.66495,1,0,0
573.6631,1,1,0
573.6656,1,1,1
72407.2179,0,0,0
72407.2338,1,0,0
573.66501,1,1,1
72407.2596,1,0,0
72407.2474,1,0,1
72407.2656,1,0,0
72407.2501,1,0,0
72407.2386,1,0,0
573.53752,1,1,0
72407.2971,1,0,0
573.66277,1,1,0
72407.2952,1,0,0
72407.236,1,0,0
72407.2278,1,0,0
72407.2428,1,0,1
573.6629,1,0,1
72407.2232,1,0,0
72407.2581,1,0,0
72407.2749,1,0,0
573.66011,1,0,1
72407.2913,0,0,0
573.66421,1,1,0
573.65969,1,0,0
573.6602,1,0,1
573.66387,1,1,0
573.67675,1,0,1
72407.2317,0,1,0
573.66253,1,1,0
573.66223,1,1,1
573.66261,1,1,1
573.66558,1,1,1
72407.2513,1,0,0
573.65933,1,0,0
72407.2753,0,0,1
574.115,1,0,0
72407.2949,0,1,1
72407.2543,0,0,0
72407.2234,0,0,0
72407.2601,1,0,1
72407.2761,1,0,1
573.66325,1,1,1
72407.2737,1,0,1
573.66409,1,1,1
72407.2874,1,0,0
573.66474,1,1,1
72407.2594,0,0,0
573.66307,1,1,1
72407.2539,0,0,0
72407.2364,1,0,0
72407.2674,1,0,1
573.66433,1,1,1
72407.2409,1,0,0
72407.2368,1,0,0
72407.2714,0,0,1
72407.2571,0,0,1
573.66284,1,0,1
573.66488,1,1,1
573.665,1,1,1
573.66508,1,1,1
72407.2613,1,0,1
573.6637,1,1,0
573.66324,1,1,0
72407.2184,1,0,1
573.66013,1,0,1
574.77,1,0,0
573.66531,1,1,1
573.66432,1,1,1
573.66399,1,1,1
573.66318,1,1,1
573.66314,1,1,1
72407.2904,1,0,0
72407.2334,1,0,1
573.66372,1,1,0
72407.2404,1,0,1
